id,kind,old_words,new_words,target_or_note,content_moved,destination,accuracy_check,final_font_size
Fig 1 (workflow),figure caption,84,54,title 2; target 35-65,"step-by-step description of strands, harmonisation and documentation",manuscript/sections/03_methods.md: 'Five populations are kept separate',found,reading 9.0 pt; submission 10.0 pt
Fig 2 (evidence-map),figure caption,79,50,title 4; target 35-65,reason station locations are not drawn (redistribution terms unconfirmed),submission/DATA_AVAILABILITY_STATEMENT.md: 'No GEMStat record is redistributed or mapped in this article',found,reading 9.0 pt; submission 10.0 pt
Fig 3 (validation-designs),figure caption,46,39,title 3; target 35-65,none,-,not applicable,reading 9.0 pt; submission 10.0 pt
Fig 4 (action-distribution),figure caption,52,36,title 7; target 35-65,none,-,not applicable,reading 9.0 pt; submission 10.0 pt
Fig 5 (india-map),figure caption,84,60,title 6; target 35-65,nitrate basis 50 mg/L as NO3,tables/final/T-02.md: 'Nitrate is classified at 50 mg/L as NO₃',found,reading 9.0 pt; submission 10.0 pt
Fig 6 (india-intervals),figure caption,64,57,title 7; target 35-65,none,-,not applicable,reading 9.0 pt; submission 10.0 pt
Fig 7 (india-support-cadence),figure caption,91,78,title 7; target 50-85,none,-,not applicable,reading 9.0 pt; submission 10.0 pt
Fig 8 (design-discrimination),figure caption,58,44,title 6; target 35-65,pointer to retained result tables,tables/final/T-03.md: 'Values are from retained result tables (S1 Text)',found,reading 9.0 pt; submission 10.0 pt
Fig 9 (prevalence-prauc),figure caption,56,40,title 5; target 35-65,prevalence is not population prevalence,manuscript/sections/03_methods.md: 'not population prevalence',found,reading 9.0 pt; submission 10.0 pt
Fig 10 (channel-comparison),figure caption,63,60,title 9; target 35-65,comparison is not evidence of spatial generalisation,manuscript/sections/04_application.md: 'is not evidence of spatial generalisation',found,reading 9.0 pt; submission 10.0 pt
Fig 11 (transfer-verdicts),figure caption,84,64,title 7; target 35-65,none,-,not applicable,reading 9.0 pt; submission 10.0 pt
