new_number,semantic_id,from_m11,action,purpose,caption_title,builder,canvas_in,values_file,values_sha256,tiff_sha256,pdf_sha256,first_callout_section,first_callout_paragraph,placement,si_captions_citing,upload_file
1,workflow,Fig1 panel A,split out,Method overview; read before the data sources it organises,The evidence-aware decision framework.,scripts/m7_build_figures.py (fig1_procedure),7.3x6.15,figures/source/workflow_source.csv,7a4b5c6447d70447792394cfa99e6aadb1f0da666222f63647f5bb4f48aeda90,c33896c716032baa085b90be286198f6ea3d302a3e978a859693d7d606678fc5,7c0472c1242d1339bfe112cd1c272d990e0cd0eec7709764ed6db1693b86868d,2. Framework architecture and decision rules,The framework takes three bodies of evidence (an accepted monitoring ...,after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig1.tif
2,evidence-map,Fig2 panel A,split out,Data sources: which country contributes which kind of evidence,Evidence roles by country.,scripts/m7_build_figures.py (fig2_geography),6.5x3.85,figures/source/evidence-map_source.csv,97914d27a5ee1642c0cbaf24f1b78c0d6dbc15a94d3b446293756cd84c5b4dff,f3b7539646876976842d935097821417569941a0690594cabe509a18ff97a2e0,f5743dcb7e289b9b655b5303e1e2b7ef03c15e4e3d6ba631ef02ae5925c94cb7,3.2 Data sources and evidence roles,"Six evidence strands enter the analysis ({{FIG:evidence-map}}): the fitting archive, ...",after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig2.tif
3,validation-designs,Fig3 panel A,split out,Method schematic for the three validation designs,Three validation designs.,scripts/m7_build_figures.py (fig3_validation),7.3x1.8,(schematic; no values),,a2c6807bfa2860031908372927aa22dbdef01adbfbebb1d09b933edaa72ecf47,029194f537f01c7be3efe5a55f883a27d35fdbb1f2fba3bbfad8d786a5c22032,3.5 Model channels and validation designs,Three validation designs were compared on the seven fitting tasks ...,after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig3.tif
4,action-distribution,Fig1 panel B,split out,First result; summarises the 26 contexts before the per-setting subsections,Actions returned in the 26 monitoring contexts.,scripts/m7_build_figures.py (fig1_procedure),6.5x2.75,figures/source/action-distribution_source.csv,bd13df8fd574337d76b0ec611995f0c56b77bad99d22e1b218d5bb1c29249c68,91d4d8d0eddf27a901c914e93e52365a8cdc4c5866cd6bef0bdda62dc74af75b,07cb77a2da780c9e23fd439b3c69360ff313bbdb10fd5edfbd518f3c79592d13,4. Application,"We applied the framework first to India, where the accepted ...",after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig4.tif
5,india-map,Fig4 panel A,split out,Where the decision-relevant cells are,Decision-relevant state or Union Territory × parameter cells in the Indian archives.,scripts/m7_build_figures.py (fig4_india),7.3x5.2,figures/source/india-map_source.csv,23b39030d3cd16c154d1b76e0647c64dbb61589f2e6b0cba19ca3c7fc8e95894,1087dc21f8741675f7924c011fef09f3d2f7ffbeaf3e5131d57e724b2a59f256,3b46fcd1686c8bcde7b8139aa66e4601c6a657c43295c73b599f654ed5466c46,4.1 Record support and decision-relevant cells in the Indian archives,"At an assumed action level of 0.10, 17 of the ...",after the first citing paragraph (reading copy: figure float; submission: caption float),S3 Table,Fig5.tif
6,india-intervals,Fig4 panel B,split out,"The intervals behind the map, same numbering",Exceedance proportions for the 17 decision-relevant cells.,scripts/m7_build_figures.py (fig4_india),6.5x4.7,figures/source/india-intervals_source.csv,57c08cef1b25a62ada94c4d2185ff80f7b565216170ffba44ba968e4492980bc,75d9ee388d5e31a95c0e9374ecaf764e7c9cddc3055389e2fb2066ac48a01b6f,692da6e9c928e8792ae9852d47289ad27944706ec2552e17bb5b4f037309a1be,4.1 Record support and decision-relevant cells in the Indian archives,Each of the 17 Wilson intervals straddles the action level ...,after the first citing paragraph (reading copy: figure float; submission: caption float),S3 Table,Fig6.tif
7,india-support-cadence,Fig4 panels C-D,grouped pair,Grouped: record support and revisit cadence share the parameter axis and both qualify the cells,Record support and revisit cadence in the Indian archives.,scripts/m7_build_figures.py (fig4_india),6.5x2.95,figures/source/india-support-cadence_source.csv,b0daa07c23f46b4331b91c6fbca014a48cfd2180a8885ae50673759281a21019,253b32dca0e71d395f7cda268d403c65f066631a0993f5864c49d823aed83a95,845890e84ab037e7d040d5742749fa511de4aa2ab20e0e16d248ef4201bdfd63,4.1 Record support and decision-relevant cells in the Indian archives,Record support and revisit cadence set what further analysis the ...,after the first citing paragraph (reading copy: figure float; submission: caption float),S3 Table,Fig7.tif
8,design-discrimination,Fig3 panel B,split out,Headline validation result,Discrimination of the fitting-archive models under three validation designs.,scripts/m7_build_figures.py (fig3_validation),6.5x4.8,figures/source/design-discrimination_source.csv,7ac8bebd7603802842e2764be4f9b2a0d1f66257458996bad3cc5282c94299d5,5ab99ef1f8ee74f8a2a807ff969c897da6fd29ba474679cc8f90497f6e0126f3,e2f7dc939d30391d54e60754510f81183ae0edbb6a0fdba4ba1724d726138618,"4.2 Validation, external transfer and the Indian actions",Validation design changed the performance estimate for the same model ...,after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig8.tif
9,prevalence-prauc,Fig3 panel C,split out,PR-AUC must be read against prevalence; standalone so the pairing is explicit,Spatial-block PR-AUC against each task's prevalence.,scripts/m7_build_figures.py (fig3_validation),6.5x3.2,figures/source/prevalence-prauc_source.csv,8522cc4114c33fccca8a2344a2011f16a08eb1eb9655695a362e3fe6d8170367,ff3ec7a0a595ac1f4095c544a375f4039830e9a38a355485261d23e541287e76,2443b80084b8ed169c99c3eb56ba9eb2fc2114eebecea00586cb1be96e2225b0,"4.2 Validation, external transfer and the Indian actions","Under block splitting, precision–recall AUC exceeded each task's overall prevalence ...",after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig9.tif
10,channel-comparison,Fig3 panel D,split out,"Different comparison (forward-chained folds), separate from the designs",Model A and Model B compared in forward-chained yearly folds.,scripts/m7_build_figures.py (fig3_validation),6.5x3.0,figures/source/channel-comparison_source.csv,cc267cc4a19c1c64cfd4a57c9030103ce788134555db58314b83be797923e157,485d3f68030c9b1381f564cbf1d7f454b2a64424bbc6e69b05136c2d6b69f20a,2eb2e377bbeb290dfec2752724b8eb45f5bd48925d2351a7a177f613ea60022d,"4.2 Validation, external transfer and the Indian actions","In forward-chained yearly folds, Model B exceeded Model A on ...",after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig10.tif
11,transfer-verdicts,Fig5 panel A,split out,Verdict grid for all 24 archive x parameter pairs,Transfer verdict for each external archive and parameter.,scripts/m7_build_figures.py (fig5_transfer),7.3x2.7,figures/source/transfer-verdicts_source.csv,51b9fc6cbba8a88a0543d96586f165fc196179d0d333ac15e8916237b434234c,c27d8407f314681f7217e00105930424e220a55926eb72f3531f9bc4e48509d5,984e30d91892e898b949f9af18f6ae1a9d9cc9e633a5644bb9ada4432aa44aaa,"4.2 Validation, external transfer and the Indian actions","Of the 13 archive × parameter pairs evaluated for transfer, ...",after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig11.tif
12,transfer-ordering,Fig5 panels B-C,grouped pair,Grouped: threshold discrimination and priority ordering share the 13-pair row order and verdict markers,Threshold discrimination and priority ordering for the 13 evaluated pairs.,scripts/m7_build_figures.py (fig5_transfer),6.5x4.75,figures/source/transfer-ordering_source.csv,f1af2a0e19f5cc732e9b90583934414e58f6e6b04127bb786b01c5d34751cdda,383f3b7e6c527bbcf1dd1da3a617d0e26b9800fe649336f7bfc9b8614b072233,70407643f02f38f3773eb9aa1d7097db8e477fd0024afb96d4186ffb22aa0078,"4.2 Validation, external transfer and the Indian actions",The rank correlation between predicted risk and observed severity among ...,after the first citing paragraph (reading copy: figure float; submission: caption float),,Fig12.tif
