figure,id,canvas_w_in,canvas_h_in,share_of_text_height,min_lettering_pt,max_lettering_pt,caption_words_old,caption_words_new,callout_page,display_page,gap_pages,page_kind,placement,pdf_sha256
Fig 1,workflow,7.0,5.9,0.63,8.0,9.0,84,54,2,3,1,float page,"full width, natural size",74179ec52c57993e2b0261849b50c4546837c83607d04288ef6a68c5bfb95ac5
Fig 2,evidence-map,7.0,3.9,0.42,8.0,8.0,79,50,4,5,1,shared with text,"full width, natural size",8fa1c6037489d25ff28a2613bd6ff5ae3056a34acb4500b5de22ed69b27dcb22
Fig 3,validation-designs,7.0,1.75,0.19,8.0,9.0,46,39,6,7,1,shared with text,"full width, natural size",2040c6af83ab86dee30fe7ba556c0007ebd9ec2c4c80655002b021535b276c89
Fig 4,action-distribution,7.0,2.5,0.27,8.0,8.5,52,36,8,8,0,shared with text,"full width, natural size",ab1571d613754bb2610ec743086a768eec1fad1ed3fe1a0319a10630ea9d9785
Fig 5,india-map,7.0,4.8,0.51,8.0,8.0,84,60,10,11,1,shared with text,"full width, natural size",5ee20bee1222dc9a928f27b154a4296e20f18b7d5948b602d1ac0441e7255dd8
Fig 6,india-intervals,7.0,3.9,0.42,8.0,8.5,64,57,10,12,2,float page,"full width, natural size",37ba6620bc427949bfb3bafc1096df17e1b2aa0e58fdff29cb98d85b3c07e08d
Fig 7,india-support-cadence,7.0,2.6,0.28,8.0,11.0,91,78,11,12,1,float page,"full width, natural size",a0666b5b80c54987ce0b3b2901966fec73c192d84e0a69ca5922fd99ed7a5106
Fig 8,design-discrimination,7.0,3.9,0.42,8.0,9.0,58,44,13,13,0,shared with text,"full width, natural size",fb460fb6f92aec19955017efd177add7754f919568a070b6c53178aa1a954fff
Fig 9,prevalence-prauc,7.0,2.6,0.28,8.0,8.5,56,40,13,14,1,float page,"full width, natural size",60e9f13032fc28ee8caecbf08a5d0eb3be4f37cc7753d84b218b9bcc1f5e3406
Fig 10,channel-comparison,7.0,2.5,0.27,8.0,8.5,63,60,13,14,1,float page,"full width, natural size",e43ebf78e1207bbd5dfb730437b65265ffd76d8e1d4ed92c0bbd3f33801c3023
Fig 11,transfer-verdicts,7.0,2.6,0.28,8.0,8.5,84,64,13,15,2,shared with text,"full width, natural size",6e69488a6611c819fe0d0cc2c44ffdb2bc29e3eb17aa5899788974e833bd98ca
Fig 12,transfer-ordering,7.0,3.6,0.39,8.0,11.0,93,75,15,16,1,shared with text,"full width, natural size",1eb504f4b7448fd6e92576db5c46f089f0b1f8a9d7d92a7c835363cf498e25bd
Fig 13,transfer-calibration,7.0,3.6,0.39,8.0,11.0,92,58,16,17,1,float page,"full width, natural size",94f2cf0cf8b0fa6a8a68d14379365aac3e8ae3e995206e7b4841bcb4348d2ecb
Fig 14,kwale-map,4.9,3.9,0.42,8.0,8.5,83,61,16,17,1,float page,"full width, natural size",4e11ce998f5c68caf5b2100d38b54b5c3b018497c61536ae28e7a930c86fab0f
Fig 15,malawi-map,4.2,4.8,0.51,8.0,8.5,56,43,18,19,1,shared with text,side caption (minipage),b7b63463f917971bf8707c8166e7b7dc9a4de78cd1db0288ce0045d48e0c4780
Fig 16,product-evidence,7.0,5.85,0.63,8.0,8.5,88,64,20,20,0,shared with text,"full width, natural size",758f5069599e92210dbb3ae083bc76a451bca1eff61323525475e9b9d2366fe8
Fig 17,documentation-threshold,7.0,2.9,0.31,8.0,8.5,76,47,21,21,0,shared with text,"full width, natural size",f2cb7dbd5ef0760ef5dfa286b55b4fc308cc802ff167277dcd280bbef881e70e
